Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed,Lifetime
0,Ranger,Hedge Seed,Fissure,1,0,10,1,593
1,Dancer,Risk-It Biscuit,Fissure,1,0,16,1,846
2,Titan,Risk-It Biscuit,Fissure,1,1,6,1,763
3,Evincer,Echo Bolt,Fissure,1,2,20,1,978
4,Ranger,Hedge Seed,Fissure,1,0,7,1,587
5,Alchemist,Accelerator,Fissure,1,2,12,1,625
6,Titan,Risk-It Biscuit,Fissure,1,1,9,1,723
7,Ranger,Hedge Seed,Fissure,1,0,10,1,515
8,Frost Knight,Risk-It Biscuit,Fissure,1,6,73,1,2395
9,Evincer,Echo Bolt,Fissure,1,0,4,1,384
10,Ranger,Hedge Seed,Fissure,1,0,2,1,372
11,Titan,Risk-It Biscuit,Fissure,1,0,22,1,1128
12,Evincer,Echo Bolt,Fissure,1,1,13,1,1119
13,Ranger,Hedge Seed,Fissure,1,0,0,1,478
14,Ranger,Hedge Seed,Fissure,1,1,5,1,565
15,Titan,Risk-It Biscuit,Fissure,1,1,16,1,945
16,Evincer,Echo Bolt,Fissure,1,1,46,1,1212
17,Ranger,Hedge Seed,Fissure,1,0,2,1,383
18,Vampire,Risk-It Biscuit,Fissure,1,4,61,0,0
19,Ranger,Hedge Seed,Fissure,1,0,11,1,429
20,Titan,Risk-It Biscuit,Fissure,1,2,53,1,1207
21,Ranger,Hedge Seed,Fissure,1,0,7,1,485
22,Evincer,Echo Bolt,Fissure,1,0,2,1,407
23,Ranger,Hedge Seed,Fissure,1,0,8,0,0
24,Evincer,Echo Bolt,Fissure,1,0,0,0,0
25,Titan,Risk-It Biscuit,Polaris,2,0,6,1,480
26,Ranger,Vigor Flask,Polaris,2,1,5,1,850
27,Griefer,Nox Bomb,Polaris,2,0,4,1,485
28,Evincer,Echo Bolt,Polaris,2,1,5,1,627
29,Griefer,Nox Bomb,Polaris,2,2,2,1,378
30,Titan,Risk-It Biscuit,Polaris,2,1,6,1,409
31,Evincer,Echo Bolt,Polaris,2,1,4,1,1343
32,Dancer,Hedge Seed,Polaris,2,2,20,1,1748
33,Griefer,Nox Bomb,Polaris,2,1,13,1,1049
34,Titan,Risk-It Biscuit,Polaris,2,0,4,1,761
35,Titan,Risk-It Biscuit,Polaris,2,0,2,1,539
36,Griefer,Nox Bomb,Polaris,2,2,28,1,864
37,Evincer,Echo Bolt,Polaris,2,0,5,1,494
38,Titan,Echo Bolt,Polaris,2,4,34,1,1191
39,Titan,Risk-It Biscuit,Polaris,2,0,2,1,334
40,Griefer,Nox Bomb,Polaris,2,2,45,1,1705
41,Titan,Risk-It Biscuit,Polaris,2,0,2,1,260
42,Evincer,Echo Bolt,Polaris,2,0,5,1,807
43,Titan,Risk-It Biscuit,Polaris,2,1,9,1,504
44,Evincer,Vigor Flask,Polaris,2,2,23,1,2146
45,Evincer,Echo Bolt,Polaris,2,1,0,1,411
46,Titan,Risk-It Biscuit,Polaris,2,0,0,1,260
47,Titan,Risk-It Biscuit,Polaris,2,1,16,1,338
48,Evincer,Echo Bolt,Polaris,2,1,39,1,1991
49,Griefer,Nox Bomb,Polaris,2,0,4,1,705
50,Titan,Risk-It Biscuit,Polaris,2,2,43,1,1455
51,Griefer,Nox Bomb,Polaris,2,0,6,1,396
52,Griefer,Nox Bomb,Polaris,2,2,55,1,1585
53,Evincer,Vigor Flask,Polaris,2,3,68,1,2044
54,Titan,Risk-It Biscuit,Polaris,2,0,6,1,942
55,Evincer,Echo Bolt,Polaris,2,0,14,1,794
56,Titan,Risk-It Biscuit,Polaris,2,0,6,1,500
57,Griefer,Nox Bomb,Polaris,2,2,19,1,661
58,Evincer,Echo Bolt,Polaris,2,1,58,1,1086
59,Titan,Risk-It Biscuit,Polaris,2,1,31,1,781
60,Battlesmith,Hedge Seed,Polaris,2,0,0,1,239
61,Griefer,Nox Bomb,Polaris,2,1,30,1,1367
62,Ranger,Spring Plume,Polaris,2,2,82,1,2321
63,Evincer,Echo Bolt,Polaris,2,1,33,1,843
64,Titan,Risk-It Biscuit,Polaris,2,1,17,1,778
65,Griefer,Nox Bomb,Polaris,2,0,30,1,607
66,Evincer,Echo Bolt,Polaris,2,1,13,1,1151
67,Titan,Risk-It Biscuit,Polaris,2,1,33,1,998
68,Griefer,Nox Bomb,Polaris,2,2,53,1,740
69,Spectre,Nox Bomb,Polaris,2,1,17,1,620
70,Titan,Risk-It Biscuit,Polaris,2,0,16,1,775
71,Evincer,Echo Bolt,Polaris,2,1,77,0,0
72,Griefer,Nox Bomb,Polaris,2,2,31,1,582
73,Stargazer,Nox Bomb,Polaris,2,2,80,1,1808
74,Titan,Risk-It Biscuit,Polaris,2,0,17,1,640
75,Griefer,Nox Bomb,Polaris,2,0,31,1,1616
76,Titan,Risk-It Biscuit,Polaris,2,1,21,0,0
77,Frost Knight,Accelerator,Polaris,2,0,2,0,0
78,Titan,Risk-It Biscuit,Dustworks,3,0,6,1,418
79,Skirmisher,Nox Bomb,Dustworks,3,0,13,1,887
80,Cloudbreaker,Echo Bolt,Dustworks,3,1,4,1,574
81,Evincer,Echo Bolt,Dustworks,3,1,12,1,682
82,Titan,Risk-It Biscuit,Dustworks,3,2,22,1,823
83,Cloudbreaker,Echo Bolt,Dustworks,3,0,4,1,490
84,Evincer,Echo Bolt,Dustworks,3,1,6,1,427
85,Titan,Risk-It Biscuit,Dustworks,3,3,38,1,1191
86,Cloudbreaker,Echo Bolt,Dustworks,3,1,29,1,1382
87,Evincer,Echo Bolt,Dustworks,3,1,12,1,799
88,Titan,Risk-It Biscuit,Dustworks,3,0,4,1,208
89,Titan,Risk-It Biscuit,Dustworks,3,0,2,1,168
90,Titan,Risk-It Biscuit,Dustworks,3,1,22,1,845
91,Alchemist,Vigor Flask,Dustworks,3,4,39,1,1273
92,Evincer,Echo Bolt,Dustworks,3,1,1,1,282
93,Cloudbreaker,Echo Bolt,Dustworks,3,3,63,1,1594
94,Evincer,Echo Bolt,Dustworks,3,0,4,1,584
95,Titan,Risk-It Biscuit,Dustworks,3,0,4,1,466
96,Evincer,Echo Bolt,Dustworks,3,0,18,1,353
97,Titan,Risk-It Biscuit,Dustworks,3,1,21,1,677
98,Griefer,Risk-It Biscuit,Dustworks,3,0,2,1,249
99,Hexblade,Echo Bolt,Dustworks,3,2,26,1,636
100,Evincer,Echo Bolt,Dustworks,3,0,2,1,258
101,Evincer,Echo Bolt,Dustworks,3,0,21,1,339
102,Titan,Risk-It Biscuit,Dustworks,3,1,15,1,849
103,Cloudbreaker,Echo Bolt,Dustworks,3,3,71,0,0
104,Battlesmith,Bandage,Dustworks,3,0,15,0,0
105,Evincer,Echo Bolt,Dustworks,3,0,5,1,333
106,Evincer,Echo Bolt,Dustworks,3,0,0,0,0
107,Titan,Risk-It Biscuit,Dustworks,3,0,0,0,0
108,Titan,Risk-It Biscuit,Sunken,4,1,16,1,1384
109,Battlesmith,Echo Bolt,Sunken,4,10,79,1,4635
110,Evincer,Echo Bolt,Sunken,4,0,4,1,604
111,Artillery,Hedge Seed,Sunken,4,1,16,1,2037
112,Evincer,Echo Bolt,Sunken,4,0,4,1,1163
113,Titan,Risk-It Biscuit,Sunken,4,1,7,1,545
114,Evincer,Echo Bolt,Sunken,4,0,0,1,403
115,Titan,Risk-It Biscuit,Sunken,4,1,5,1,422
116,Evincer,Echo Bolt,Sunken,4,0,0,1,206
117,Artillery,Hedge Seed,Sunken,4,0,8,1,264
118,Titan,Risk-It Biscuit,Sunken,4,1,18,1,1418
119,Artillery,Hedge Seed,Sunken,4,0,4,1,796
120,Evincer,Echo Bolt,Sunken,4,0,0,1,591
121,Evincer,Echo Bolt,Sunken,4,0,7,1,828
122,Artillery,Hedge Seed,Sunken,4,0,4,1,541
123,Titan,Risk-It Biscuit,Sunken,4,0,0,1,256
124,Artillery,Hedge Seed,Sunken,4,0,3,1,325
125,Titan,Risk-It Biscuit,Sunken,4,2,28,1,741
126,Evincer,Echo Bolt,Sunken,4,1,30,1,346
127,Artillery,Hedge Seed,Sunken,4,0,2,1,897
128,Chronomancer,Bandage,Sunken,4,3,57,1,1790
129,Evincer,Echo Bolt,Sunken,4,1,2,1,291
130,Evincer,Echo Bolt,Sunken,4,0,0,1,429
131,Titan,Risk-It Biscuit,Sunken,4,1,12,1,770
132,Artillery,Hedge Seed,Sunken,4,1,2,1,936
133,Evincer,Echo Bolt,Sunken,4,1,10,1,436
134,Evincer,Echo Bolt,Sunken,4,1,60,1,1698
135,Titan,Risk-It Biscuit,Sunken,4,1,6,1,764
136,Frost Knight,Spring Plume,Sunken,4,6,54,0,0
137,Artillery,Hedge Seed,Sunken,4,0,2,1,706
138,Titan,Risk-It Biscuit,Sunken,4,0,0,1,522
139,Artillery,Hedge Seed,Sunken,4,0,0,1,449
140,Titan,Risk-It Biscuit,Sunken,4,2,52,1,909
141,Artillery,Hedge Seed,Sunken,4,0,9,1,807
142,Evincer,Echo Bolt,Sunken,4,0,2,1,232
143,Evincer,Echo Bolt,Sunken,4,0,11,1,543
144,Titan,Risk-It Biscuit,Sunken,4,0,2,0,0
145,Artillery,Hedge Seed,Sunken,4,0,2,0,0
146,Evincer,Echo Bolt,Sunken,4,0,0,0,0
147,Evincer,Echo Bolt,Crystal,5,0,19,1,1472
148,Titan,Risk-It Biscuit,Crystal,5,0,16,1,1165
149,Battlesmith,Accelerator,Crystal,5,0,8,1,687
150,Frost Knight,Bandage,Crystal,5,3,10,1,1002
151,Battlesmith,Accelerator,Crystal,5,0,4,1,293
152,Titan,Risk-It Biscuit,Crystal,5,5,46,1,1522
153,Battlesmith,Accelerator,Crystal,5,0,8,1,415
