Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed,Lifetime
0,Artillery,Smoke Screen,Dustworks,1,1,8,1,1158
1,Cloudbreaker,Hedge Seed,Dustworks,1,0,4,1,736
2,Hexblade,Echo Bolt,Dustworks,1,0,3,1,1191
3,Spectre,Bandage,Dustworks,1,4,56,1,3079
4,Cloudbreaker,Hedge Seed,Dustworks,1,0,16,1,904
5,Evincer,Bandage,Dustworks,1,1,13,1,940
6,Hexblade,Echo Bolt,Dustworks,1,0,3,1,647
7,Cloudbreaker,Hedge Seed,Dustworks,1,1,15,1,935
8,Vampire,Echo Bolt,Dustworks,1,1,47,1,1649
9,Cloudbreaker,Hedge Seed,Dustworks,1,1,38,1,2766
10,Hexblade,Echo Bolt,Dustworks,1,0,2,1,494
11,Spectre,Bandage,Dustworks,1,3,44,1,2050
12,Hexblade,Echo Bolt,Dustworks,1,0,21,1,865
13,Titan,Accelerator,Dustworks,1,0,4,1,453
14,Battlesmith,Bandage,Dustworks,1,3,74,1,2426
15,Hexblade,Echo Bolt,Dustworks,1,0,0,1,404
16,Hexblade,Echo Bolt,Dustworks,1,1,71,1,2044
17,Cloudbreaker,Hedge Seed,Dustworks,1,1,10,1,160
18,Spectre,Bandage,Dustworks,1,0,8,1,516
19,Cloudbreaker,Hedge Seed,Dustworks,1,3,82,0,0
20,Spectre,Bandage,Dustworks,1,0,6,1,421
21,Alchemist,Risk-It Biscuit,Dustworks,1,0,4,1,216
22,Spectre,Bandage,Dustworks,1,1,33,0,0
23,Artillery,Lava Cake,Dustworks,1,0,0,0,0
24,Hexblade,Spring Plume,Fissure,2,2,33,1,1633
25,Frost Knight,Bandage,Fissure,2,0,6,1,484
26,Hexblade,Echo Bolt,Fissure,2,0,2,1,948
27,Evincer,Bandage,Fissure,2,2,16,1,1149
28,Frost Knight,Bandage,Fissure,2,0,0,1,233
29,Frost Knight,Bandage,Fissure,2,0,11,1,710
30,Vampire,Hedge Seed,Fissure,2,1,7,1,296
31,Evincer,Bandage,Fissure,2,3,28,1,965
32,Frost Knight,Hedge Seed,Fissure,2,4,60,1,1922
33,Frost Knight,Bandage,Fissure,2,0,11,1,553
34,Vampire,Hedge Seed,Fissure,2,0,5,1,388
35,Chronomancer,Smoke Screen,Fissure,2,0,4,1,515
36,Evincer,Bandage,Fissure,2,1,12,1,571
37,Evincer,Risk-It Biscuit,Fissure,2,0,0,1,380
38,Frost Knight,Vigor Flask,Fissure,2,1,5,1,585
39,Chronomancer,Smoke Screen,Fissure,2,0,12,1,810
40,Evincer,Bandage,Fissure,2,0,2,1,358
41,Frost Knight,Vigor Flask,Fissure,2,3,33,1,786
42,Evincer,Bandage,Fissure,2,1,0,1,233
43,Dancer,Hedge Seed,Fissure,2,1,30,1,936
44,Evincer,Bandage,Fissure,2,3,85,1,1747
45,Chronomancer,Smoke Screen,Fissure,2,1,26,1,1656
46,Alchemist,Flame Trap,Fissure,2,0,0,1,202
47,Frost Knight,Vigor Flask,Fissure,2,1,0,1,363
48,Alchemist,Flame Trap,Fissure,2,0,18,1,3008
49,Skirmisher,Vigor Flask,Fissure,2,0,0,1,238
50,Frost Knight,Vigor Flask,Fissure,2,0,13,1,449
51,Hexblade,Bandage,Fissure,2,3,51,1,1228
52,Frost Knight,Vigor Flask,Fissure,2,1,20,1,583
53,Chronomancer,Smoke Screen,Fissure,2,1,39,1,1191
54,Evincer,Bandage,Fissure,2,0,5,1,372
55,Frost Knight,Vigor Flask,Fissure,2,1,31,1,390
56,Evincer,Bandage,Fissure,2,1,9,1,585
57,Chronomancer,Vigor Flask,Fissure,2,2,76,1,1348
58,Frost Knight,Vigor Flask,Fissure,2,2,20,1,1064
59,Evincer,Bandage,Fissure,2,0,9,0,0
60,Chronomancer,Smoke Screen,Fissure,2,0,4,1,501
61,Chronomancer,Smoke Screen,Fissure,2,1,72,1,538
62,Alchemist,Flame Trap,Fissure,2,0,36,1,838
63,Frost Knight,Vigor Flask,Fissure,2,1,12,1,407
64,Alchemist,Bandage,Fissure,2,1,38,1,486
65,Chronomancer,Smoke Screen,Fissure,2,2,55,0,0
66,Skirmisher,Vigor Flask,Fissure,2,0,4,0,0
67,Artillery,Lava Cake,Fissure,2,0,1,0,0
68,Alchemist,Flame Trap,Fissure,2,0,0,0,0
69,Battlesmith,Spring Plume,Crystal,3,0,18,1,1479
70,Hexblade,Echo Bolt,Crystal,3,1,52,1,2893
71,Battlesmith,Risk-It Biscuit,Crystal,3,2,18,1,1973
72,Battlesmith,Echo Bolt,Crystal,3,0,8,1,903
73,Griefer,Hedge Seed,Crystal,3,0,0,1,502
74,Griefer,Hedge Seed,Crystal,3,1,4,1,566
75,Battlesmith,Echo Bolt,Crystal,3,2,19,1,1349
76,Griefer,Hedge Seed,Crystal,3,0,0,1,308
77,Evincer,Bandage,Crystal,3,1,20,1,1208
78,Griefer,Hedge Seed,Crystal,3,1,0,1,262
79,Griefer,Hedge Seed,Crystal,3,0,0,1,350
80,Evincer,Risk-It Biscuit,Crystal,3,2,10,1,1153
81,Griefer,Hedge Seed,Crystal,3,0,52,1,1163
82,Battlesmith,Echo Bolt,Crystal,3,2,26,1,1185
83,Ranger,Echo Bolt,Crystal,3,1,10,1,686
84,Hexblade,Echo Bolt,Crystal,3,1,6,1,690
85,Evincer,Risk-It Biscuit,Crystal,3,0,0,1,547
86,Cloudbreaker,Flame Trap,Crystal,3,2,15,1,697
87,Hexblade,Echo Bolt,Crystal,3,2,13,1,769
88,Griefer,Hedge Seed,Crystal,3,0,26,1,793
89,Battlesmith,Echo Bolt,Crystal,3,1,15,1,779
90,Evincer,Risk-It Biscuit,Crystal,3,1,79,1,963
91,Frost Knight,Echo Bolt,Crystal,3,2,19,1,378
92,Hexblade,Echo Bolt,Crystal,3,0,4,1,315
93,Griefer,Hedge Seed,Crystal,3,1,56,1,634
94,Battlesmith,Echo Bolt,Crystal,3,0,11,1,276
95,Hexblade,Accelerator,Crystal,3,1,44,1,697
96,Hexblade,Echo Bolt,Crystal,3,2,24,1,1260
97,Battlesmith,Echo Bolt,Crystal,3,0,9,1,593
98,Hexblade,Vigor Flask,Crystal,3,4,62,1,869
99,Griefer,Hedge Seed,Crystal,3,0,10,1,306
100,Ranger,Flame Trap,Crystal,3,2,20,1,837
101,Griefer,Hedge Seed,Crystal,3,0,2,1,291
102,Battlesmith,Echo Bolt,Crystal,3,0,48,1,584
103,Griefer,Hedge Seed,Crystal,3,1,7,1,333
104,Hexblade,Echo Bolt,Crystal,3,0,26,1,314
105,Hexblade,Vigor Flask,Crystal,3,4,12,1,520
106,Battlesmith,Echo Bolt,Crystal,3,0,66,0,0
107,Ranger,Spring Plume,Crystal,3,0,8,1,248
108,Griefer,Hedge Seed,Crystal,3,0,7,0,0
109,Hexblade,Echo Bolt,Crystal,3,1,17,0,0
110,Titan,Nox Bomb,Crystal,3,0,0,0,0
111,Hexblade,Vigor Flask,Crystal,3,0,0,0,0
112,Artillery,Lava Cake,Sunken,4,1,7,1,1904
113,Evincer,Bandage,Sunken,4,0,4,1,891
114,Chronomancer,Hedge Seed,Sunken,4,0,8,1,979
115,Evincer,Echo Bolt,Sunken,4,2,10,1,1764
116,Evincer,Smoke Screen,Sunken,4,0,15,1,1321
