Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed
0,Frost Knight,Vigor Flask,Grimspire,1,0,0,1
1,Dancer,Lava Cake,Grimspire,1,2,28,1
2,Vampire,Risk-It Biscuit,Grimspire,1,0,6,1
3,Hexblade,Vigor Flask,Grimspire,1,1,6,1
4,Dancer,Echo Bolt,Grimspire,1,1,4,1
5,Titan,Vigor Flask,Grimspire,1,1,17,1
6,Frost Knight,Vigor Flask,Grimspire,1,0,0,1
7,Spectre,Hedge Seed,Grimspire,1,7,66,1
8,Evincer,Risk-It Biscuit,Grimspire,1,0,2,1
9,Titan,Echo Bolt,Grimspire,1,0,3,1
10,Evincer,Risk-It Biscuit,Grimspire,1,2,13,1
11,Hexblade,Vigor Flask,Grimspire,1,0,10,1
12,Titan,Echo Bolt,Grimspire,1,0,2,1
13,Titan,Vigor Flask,Grimspire,1,1,36,1
14,Dancer,Lava Cake,Grimspire,1,1,11,1
15,Titan,Echo Bolt,Grimspire,1,0,10,1
16,Hexblade,Vigor Flask,Grimspire,1,0,4,1
17,Dancer,Lava Cake,Grimspire,1,1,13,1
18,Evincer,Risk-It Biscuit,Grimspire,1,1,1,1
19,Hexblade,Vigor Flask,Grimspire,1,0,8,1
20,Titan,Echo Bolt,Grimspire,1,0,10,1
21,Evincer,Risk-It Biscuit,Grimspire,1,3,94,1
22,Dancer,Lava Cake,Grimspire,1,0,8,1
23,Hexblade,Vigor Flask,Grimspire,1,0,11,1
24,Titan,Vigor Flask,Grimspire,1,1,9,1
25,Dancer,Lava Cake,Grimspire,1,2,39,1
26,Hexblade,Vigor Flask,Grimspire,1,0,2,1
27,Battlesmith,Flame Trap,Grimspire,1,5,74,1
28,Champion,Echo Bolt,Grimspire,1,0,5,1
29,Dancer,Lava Cake,Grimspire,1,2,19,1
30,Hexblade,Vigor Flask,Grimspire,1,0,4,1
31,Hexblade,Vigor Flask,Grimspire,1,0,2,1
32,Skirmisher,Smoke Screen,Grimspire,1,0,0,1
33,Hexblade,Vigor Flask,Grimspire,1,0,7,1
34,Titan,Vigor Flask,Grimspire,1,3,91,0
35,Skirmisher,Smoke Screen,Grimspire,1,1,25,1
36,Dancer,Lava Cake,Grimspire,1,0,5,1
37,Hexblade,Vigor Flask,Grimspire,1,0,33,1
38,Dancer,Lava Cake,Grimspire,1,3,36,1
39,Battlesmith,Flame Trap,Grimspire,1,1,10,1
40,Evincer,Risk-It Biscuit,Grimspire,1,1,8,1
41,Hexblade,Vigor Flask,Grimspire,1,1,56,0
42,Skirmisher,Smoke Screen,Grimspire,1,0,0,1
43,Dancer,Lava Cake,Grimspire,1,0,5,0
44,Skirmisher,Smoke Screen,Grimspire,1,0,4,0
45,Titan,Bandage,Grimspire,1,0,2,0
46,Evincer,Risk-It Biscuit,Grimspire,1,0,0,0
47,Hexblade,Vigor Flask,Grimspire,2,0,4,1
48,Evincer,Accelerator,Grimspire,2,5,12,1
49,Skirmisher,Smoke Screen,Grimspire,2,0,2,1
50,Battlesmith,Flame Trap,Grimspire,2,0,6,1
51,Evincer,Risk-It Biscuit,Grimspire,2,2,3,1
52,Titan,Vigor Flask,Grimspire,2,3,14,1
53,Hexblade,Vigor Flask,Grimspire,2,0,2,1
54,Evincer,Risk-It Biscuit,Grimspire,2,0,12,1
55,Battlesmith,Flame Trap,Grimspire,2,0,2,1
56,Hexblade,Vigor Flask,Grimspire,2,0,10,1
57,Skirmisher,Echo Bolt,Grimspire,2,0,2,1
58,Battlesmith,Flame Trap,Grimspire,2,2,43,1
59,Skirmisher,Echo Bolt,Grimspire,2,0,16,1
60,Titan,Vigor Flask,Grimspire,2,0,6,1
61,Spectre,Spring Plume,Grimspire,2,3,46,1
62,Evincer,Risk-It Biscuit,Grimspire,2,1,15,1
63,Skirmisher,Echo Bolt,Grimspire,2,2,2,1
64,Titan,Risk-It Biscuit,Grimspire,2,0,0,1
65,Evincer,Risk-It Biscuit,Grimspire,2,0,13,1
66,Evincer,Risk-It Biscuit,Grimspire,2,0,14,1
67,Battlesmith,Flame Trap,Grimspire,2,3,70,1
68,Skirmisher,Echo Bolt,Grimspire,2,0,10,1
69,Evincer,Risk-It Biscuit,Grimspire,2,3,43,1
70,Skirmisher,Echo Bolt,Grimspire,2,0,4,1
71,Skirmisher,Accelerator,Grimspire,2,0,3,1
72,Evincer,Risk-It Biscuit,Grimspire,2,0,8,1
73,Ranger,Lava Cake,Grimspire,2,2,59,1
74,Skirmisher,Echo Bolt,Grimspire,2,0,14,1
75,Evincer,Risk-It Biscuit,Grimspire,2,0,3,1
76,Battlesmith,Flame Trap,Grimspire,2,0,2,1
77,Titan,Risk-It Biscuit,Grimspire,2,0,17,1
78,Skirmisher,Echo Bolt,Grimspire,2,3,28,1
79,Battlesmith,Flame Trap,Grimspire,2,3,76,0
80,Evincer,Risk-It Biscuit,Grimspire,2,0,4,1
81,Evincer,Risk-It Biscuit,Grimspire,2,2,42,1
82,Skirmisher,Echo Bolt,Grimspire,2,0,18,1
83,Artillery,Echo Bolt,Grimspire,2,2,29,0
84,Titan,Risk-It Biscuit,Grimspire,2,1,45,0
85,Evincer,Risk-It Biscuit,Grimspire,2,0,10,1
86,Evincer,Risk-It Biscuit,Grimspire,2,0,4,1
87,Skirmisher,Echo Bolt,Grimspire,2,0,11,0
88,Evincer,Risk-It Biscuit,Grimspire,2,0,2,0
89,Ranger,Vigor Flask,Grimspire,3,5,26,1
90,Evincer,Risk-It Biscuit,Grimspire,3,0,2,1
91,Skirmisher,Echo Bolt,Grimspire,3,0,6,1
92,Titan,Risk-It Biscuit,Grimspire,3,1,9,1
93,Titan,Hedge Seed,Grimspire,3,0,4,1
94,Skirmisher,Echo Bolt,Grimspire,3,1,8,1
95,Dancer,Risk-It Biscuit,Grimspire,3,0,4,1
96,Titan,Hedge Seed,Grimspire,3,3,31,1
97,Spectre,Spring Plume,Grimspire,3,0,10,1
98,Dancer,Risk-It Biscuit,Grimspire,3,0,0,1
99,Skirmisher,Echo Bolt,Grimspire,3,0,5,1
100,Titan,Risk-It Biscuit,Grimspire,3,0,7,1
101,Dancer,Risk-It Biscuit,Grimspire,3,2,4,1
102,Spectre,Spring Plume,Grimspire,3,0,6,1
103,Titan,Risk-It Biscuit,Grimspire,3,1,18,1
104,Artillery,Hedge Seed,Grimspire,3,0,19,1
105,Skirmisher,Echo Bolt,Grimspire,3,1,15,1
106,Dancer,Risk-It Biscuit,Grimspire,3,0,14,1
107,Spectre,Spring Plume,Grimspire,3,2,74,1
108,Titan,Hedge Seed,Grimspire,3,2,13,1
109,Skirmisher,Echo Bolt,Grimspire,3,1,17,1
110,Artillery,Hedge Seed,Grimspire,3,3,41,1
111,Dancer,Risk-It Biscuit,Grimspire,3,0,8,1
112,Titan,Risk-It Biscuit,Grimspire,3,1,5,1
113,Titan,Hedge Seed,Grimspire,3,0,2,1
114,Skirmisher,Echo Bolt,Grimspire,3,0,38,1
115,Dancer,Risk-It Biscuit,Grimspire,3,0,10,1
116,Titan,Hedge Seed,Grimspire,3,3,15,1
117,Titan,Risk-It Biscuit,Grimspire,3,1,25,1
118,Dancer,Risk-It Biscuit,Grimspire,3,0,2,1
119,Dancer,Risk-It Biscuit,Grimspire,3,0,3,1
120,Titan,Hedge Seed,Grimspire,3,0,6,0
121,Dancer,Nox Bomb,Grimspire,3,7,77,0
122,Dancer,Risk-It Biscuit,Grimspire,3,0,6,1
123,Titan,Risk-It Biscuit,Grimspire,3,0,2,1
124,Dancer,Risk-It Biscuit,Grimspire,3,0,2,1
125,Titan,Risk-It Biscuit,Grimspire,3,1,6,0
126,Skirmisher,Echo Bolt,Grimspire,3,0,2,1
127,Dancer,Risk-It Biscuit,Grimspire,4,0,4,1
128,Ranger,Echo Bolt,Grimspire,4,0,4,1
129,Hexblade,Bandage,Grimspire,4,2,12,1
130,Alchemist,Nox Bomb,Grimspire,4,0,4,1
131,Dancer,Risk-It Biscuit,Grimspire,4,0,6,1
132,Titan,Risk-It Biscuit,Grimspire,4,2,31,1
133,Skirmisher,Vigor Flask,Grimspire,4,11,98,0
134,Dancer,Risk-It Biscuit,Grimspire,4,0,4,1
135,Hexblade,Bandage,Grimspire,4,1,7,1
136,Alchemist,Nox Bomb,Grimspire,4,1,2,1
137,Spectre,Spring Plume,Grimspire,4,0,3,1
138,Dancer,Risk-It Biscuit,Grimspire,4,0,2,1
139,Alchemist,Nox Bomb,Grimspire,4,2,19,1
140,Hexblade,Bandage,Grimspire,4,0,2,1
141,Dancer,Risk-It Biscuit,Grimspire,4,0,2,1
142,Dancer,Vigor Flask,Grimspire,4,0,4,1
143,Chronomancer,Bandage,Grimspire,4,0,4,1
144,Dancer,Vigor Flask,Grimspire,4,0,2,1
145,Alchemist,Flame Trap,Grimspire,4,1,15,1
146,Titan,Risk-It Biscuit,Grimspire,4,0,2,1
147,Chronomancer,Bandage,Grimspire,4,1,0,1
148,Alchemist,Nox Bomb,Grimspire,4,1,24,1
149,Titan,Risk-It Biscuit,Grimspire,4,2,24,0
150,Alchemist,Flame Trap,Grimspire,4,0,1,1
151,Dancer,Vigor Flask,Grimspire,4,0,2,1
152,Ranger,Hedge Seed,Grimspire,4,0,18,1
153,Alchemist,Flame Trap,Grimspire,4,1,4,0
154,Dancer,Vigor Flask,Grimspire,4,0,4,1
155,Dancer,Vigor Flask,Grimspire,4,0,2,0
156,Alchemist,Nox Bomb,Grimspire,4,0,0,0
157,Alchemist,Flame Trap,Grimspire,5,0,6,1
158,Spectre,Lava Cake,Grimspire,5,1,21,1
159,Stargazer,Vigor Flask,Grimspire,5,1,5,1
160,Titan,Risk-It Biscuit,Grimspire,5,2,45,1
161,Chronomancer,Lava Cake,Grimspire,5,0,4,1
162,Alchemist,Flame Trap,Grimspire,5,1,14,1
163,Stargazer,Vigor Flask,Grimspire,5,4,26,1
164,Griefer,Nox Bomb,Grimspire,5,0,8,1
165,Skirmisher,Echo Bolt,Grimspire,5,0,2,1
166,Chronomancer,Lava Cake,Grimspire,5,0,2,1
167,Skirmisher,Smoke Screen,Grimspire,5,1,5,1
168,Chronomancer,Lava Cake,Grimspire,5,0,7,1
169,Griefer,Nox Bomb,Grimspire,5,0,15,1
170,Skirmisher,Smoke Screen,Grimspire,5,6,43,1
171,Evincer,Flame Trap,Grimspire,5,2,34,1
172,Chronomancer,Lava Cake,Grimspire,5,0,6,1
173,Titan,Risk-It Biscuit,Grimspire,5,0,6,1
174,Griefer,Nox Bomb,Grimspire,5,0,6,1
175,Stargazer,Vigor Flask,Grimspire,5,0,10,1
176,Chronomancer,Lava Cake,Grimspire,5,0,6,1
177,Evincer,Flame Trap,Grimspire,5,0,24,1
178,Titan,Risk-It Biscuit,Grimspire,5,1,27,1
179,Griefer,Nox Bomb,Grimspire,5,5,98,0
180,Stargazer,Vigor Flask,Grimspire,5,1,12,1
181,Chronomancer,Lava Cake,Grimspire,5,0,4,1
182,Evincer,Flame Trap,Grimspire,5,1,8,1
