Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed,Lifetime
0,Alchemist,Risk-It Biscuit,Sunken,1,1,10,1,819
1,Evincer,Echo Bolt,Sunken,1,1,7,1,1272
2,Frost Knight,Lava Cake,Sunken,1,0,0,1,285
3,Cloudbreaker,Bandage,Sunken,1,0,10,1,987
4,Griefer,Lava Cake,Sunken,1,2,12,1,1315
5,Evincer,Smoke Screen,Sunken,1,1,12,1,1016
6,Evincer,Echo Bolt,Sunken,1,0,4,1,629
7,Cloudbreaker,Bandage,Sunken,1,1,13,1,577
8,Ranger,Bandage,Sunken,1,2,3,1,290
9,Evincer,Echo Bolt,Sunken,1,1,22,1,1064
10,Evincer,Bandage,Sunken,1,2,52,1,4417
11,Cloudbreaker,Bandage,Sunken,1,0,2,1,495
12,Champion,Lava Cake,Sunken,1,0,6,1,517
13,Frost Knight,Smoke Screen,Sunken,1,1,5,1,630
14,Cloudbreaker,Bandage,Sunken,1,2,17,1,757
15,Evincer,Echo Bolt,Sunken,1,0,0,1,271
16,Evincer,Echo Bolt,Sunken,1,1,25,1,1098
17,Stargazer,Spring Plume,Sunken,1,1,52,1,3591
18,Cloudbreaker,Bandage,Sunken,1,2,32,1,3137
19,Evincer,Echo Bolt,Sunken,1,0,6,1,1383
20,Evincer,Echo Bolt,Sunken,1,1,52,1,1269
21,Evincer,Bandage,Sunken,1,1,0,1,635
22,Cloudbreaker,Bandage,Sunken,1,5,83,1,2220
23,Stargazer,Spring Plume,Sunken,1,3,46,1,1635
24,Evincer,Bandage,Sunken,1,0,10,1,341
25,Evincer,Echo Bolt,Sunken,1,0,11,1,341
26,Evincer,Bandage,Sunken,1,0,2,1,246
27,Evincer,Echo Bolt,Sunken,1,0,0,1,571
28,Evincer,Bandage,Sunken,1,0,4,1,626
29,Evincer,Echo Bolt,Sunken,1,0,0,1,219
30,Evincer,Bandage,Sunken,1,0,35,0,0
31,Evincer,Echo Bolt,Sunken,1,2,50,1,680
32,Hexblade,Hedge Seed,Sunken,1,1,11,1,399
33,Cloudbreaker,Bandage,Sunken,1,3,52,0,0
34,Dancer,Vigor Flask,Sunken,1,0,1,1,162
35,Evincer,Echo Bolt,Sunken,1,0,5,1,207
36,Dancer,Lava Cake,Sunken,1,0,2,0,0
37,Evincer,Echo Bolt,Sunken,1,0,0,0,0
38,Evincer,Bandage,Polaris,2,5,94,1,7452
39,Evincer,Echo Bolt,Polaris,2,0,6,1,505
40,Alchemist,Vigor Flask,Polaris,2,4,34,1,2271
41,Chronomancer,Hedge Seed,Polaris,2,1,11,1,792
42,Evincer,Echo Bolt,Polaris,2,0,0,1,269
43,Evincer,Echo Bolt,Polaris,2,0,12,1,1102
44,Chronomancer,Hedge Seed,Polaris,2,0,0,1,329
45,Chronomancer,Hedge Seed,Polaris,2,0,2,1,691
46,Evincer,Echo Bolt,Polaris,2,1,6,1,967
47,Frost Knight,Risk-It Biscuit,Polaris,2,3,21,1,1308
48,Chronomancer,Hedge Seed,Polaris,2,0,2,1,315
49,Evincer,Echo Bolt,Polaris,2,0,4,1,242
50,Chronomancer,Hedge Seed,Polaris,2,0,0,1,293
51,Evincer,Echo Bolt,Polaris,2,1,19,1,532
52,Spectre,Hedge Seed,Polaris,2,2,19,1,1232
53,Evincer,Echo Bolt,Polaris,2,0,2,1,312
54,Chronomancer,Hedge Seed,Polaris,2,0,8,1,596
55,Evincer,Echo Bolt,Polaris,2,1,6,1,675
56,Chronomancer,Hedge Seed,Polaris,2,0,14,1,388
57,Titan,Hedge Seed,Polaris,2,3,70,1,3847
58,Evincer,Echo Bolt,Polaris,2,1,2,1,261
59,Evincer,Echo Bolt,Polaris,2,0,3,1,378
60,Chronomancer,Hedge Seed,Polaris,2,0,4,1,504
61,Evincer,Echo Bolt,Polaris,2,2,50,1,1697
62,Chronomancer,Hedge Seed,Polaris,2,1,21,1,1963
63,Evincer,Bandage,Polaris,2,1,54,1,1808
64,Evincer,Echo Bolt,Polaris,2,1,20,1,581
65,Chronomancer,Hedge Seed,Polaris,2,1,41,1,1212
66,Evincer,Echo Bolt,Polaris,2,0,2,1,184
67,Battlesmith,Flame Trap,Polaris,2,0,4,1,400
68,Evincer,Echo Bolt,Polaris,2,3,87,0,0
69,Evincer,Bandage,Polaris,2,0,18,0,0
70,Battlesmith,Echo Bolt,Polaris,2,0,16,1,499
71,Chronomancer,Hedge Seed,Polaris,2,1,7,1,570
72,Ranger,Bandage,Polaris,2,0,2,0,0
73,Chronomancer,Hedge Seed,Polaris,2,0,0,0,0
74,Evincer,Echo Bolt,Crystal,3,0,2,1,535
75,Evincer,Bandage,Crystal,3,1,16,1,1097
76,Skirmisher,Hedge Seed,Crystal,3,1,14,1,1029
77,Spectre,Echo Bolt,Crystal,3,0,0,1,458
78,Evincer,Echo Bolt,Crystal,3,0,17,1,1185
79,Spectre,Echo Bolt,Crystal,3,2,25,1,1509
80,Artillery,Risk-It Biscuit,Crystal,3,0,2,1,1385
81,Alchemist,Flame Trap,Crystal,3,1,12,1,1204
82,Evincer,Echo Bolt,Crystal,3,3,22,1,898
83,Spectre,Echo Bolt,Crystal,3,1,36,1,946
84,Skirmisher,Flame Trap,Crystal,3,1,0,1,296
85,Alchemist,Nox Bomb,Crystal,3,2,39,1,935
86,Evincer,Echo Bolt,Crystal,3,0,13,1,831
87,Battlesmith,Hedge Seed,Crystal,3,1,10,1,861
88,Spectre,Echo Bolt,Crystal,3,0,2,1,256
89,Spectre,Echo Bolt,Crystal,3,3,42,1,1697
90,Evincer,Echo Bolt,Crystal,3,0,17,1,146
91,Alchemist,Nox Bomb,Crystal,3,2,62,1,2885
92,Skirmisher,Nox Bomb,Crystal,3,1,12,1,456
93,Evincer,Echo Bolt,Crystal,3,0,1,1,202
94,Evincer,Echo Bolt,Crystal,3,0,25,1,1159
95,Frost Knight,Spring Plume,Crystal,3,1,16,1,1086
96,Spectre,Echo Bolt,Crystal,3,4,71,0,0
97,Evincer,Echo Bolt,Crystal,3,0,18,1,527
98,Battlesmith,Spring Plume,Crystal,3,2,65,1,1486
99,Evincer,Echo Bolt,Crystal,3,0,1,1,234
100,Evincer,Echo Bolt,Crystal,3,1,20,1,404
101,Alchemist,Nox Bomb,Crystal,3,1,8,1,394
102,Evincer,Echo Bolt,Crystal,3,0,5,1,283
103,Evincer,Smoke Screen,Crystal,3,0,0,0,0
104,Evincer,Echo Bolt,Crystal,3,0,0,0,0
105,Alchemist,Nox Bomb,Crystal,3,0,0,0,0
106,Evincer,Echo Bolt,Grimspire,4,0,12,1,1014
107,Griefer,Vigor Flask,Grimspire,4,0,8,1,516
108,Vampire,Vigor Flask,Grimspire,4,2,8,1,774
109,Hexblade,Hedge Seed,Grimspire,4,0,26,1,2184
110,Artillery,Flame Trap,Grimspire,4,1,18,1,1747
111,Evincer,Echo Bolt,Grimspire,4,0,8,1,995
112,Vampire,Vigor Flask,Grimspire,4,4,60,1,3064
113,Spectre,Spring Plume,Grimspire,4,0,2,1,637
114,Titan,Spring Plume,Grimspire,4,0,27,1,1685
115,Hexblade,Lava Cake,Grimspire,4,0,13,1,702
116,Spectre,Spring Plume,Grimspire,4,1,15,1,918
117,Hexblade,Vigor Flask,Grimspire,4,3,52,1,2722
118,Spectre,Spring Plume,Grimspire,4,0,43,1,1362
119,Spectre,Flame Trap,Grimspire,4,4,68,1,2115
120,Vampire,Vigor Flask,Grimspire,4,0,4,1,302
121,Vampire,Vigor Flask,Grimspire,4,0,13,1,987
122,Spectre,Spring Plume,Grimspire,4,1,2,1,506
123,Vampire,Vigor Flask,Grimspire,4,2,68,1,1168
124,Titan,Accelerator,Grimspire,4,0,6,1,981
125,Hexblade,Vigor Flask,Grimspire,4,0,36,1,667
126,Battlesmith,Nox Bomb,Grimspire,4,2,52,0,0
127,Hexblade,Vigor Flask,Grimspire,4,0,2,0,0
128,Titan,Accelerator,Grimspire,4,0,0,0,0
129,Ranger,Echo Bolt,Fissure,5,0,18,1,876
130,Hexblade,Smoke Screen,Fissure,5,1,28,1,1797
131,Titan,Accelerator,Fissure,5,0,2,1,446
132,Dancer,Echo Bolt,Fissure,5,1,14,1,593
133,Titan,Accelerator,Fissure,5,0,0,1,438
134,Vampire,Spring Plume,Fissure,5,2,29,1,1531
135,Alchemist,Flame Trap,Fissure,5,0,26,1,1669
136,Dancer,Echo Bolt,Fissure,5,2,30,1,843
137,Hexblade,Bandage,Fissure,5,1,54,1,2112
138,Cloudbreaker,Accelerator,Fissure,5,2,11,1,1166
139,Dancer,Echo Bolt,Fissure,5,0,8,1,459
140,Alchemist,Flame Trap,Fissure,5,1,5,1,679
141,Dancer,Echo Bolt,Fissure,5,1,56,1,961
142,Skirmisher,Risk-It Biscuit,Fissure,5,2,12,1,575
143,Alchemist,Flame Trap,Fissure,5,1,19,1,1823
144,Hexblade,Hedge Seed,Fissure,5,0,6,1,338
145,Griefer,Echo Bolt,Fissure,5,2,49,1,1551
146,Hexblade,Hedge Seed,Fissure,5,0,12,1,1016
147,Dancer,Echo Bolt,Fissure,5,2,65,0,0
148,Hexblade,Spring Plume,Fissure,5,0,10,0,0
149,Alchemist,Flame Trap,Fissure,5,0,2,0,0
150,Stargazer,Echo Bolt,Fissure,5,0,0,0,0
151,Hexblade,Spring Plume,Golden,6,4,99,0,0
152,Artillery,Bandage,Golden,6,1,26,1,2076
153,Artillery,Hedge Seed,Golden,6,0,8,1,887
154,Evincer,Echo Bolt,Golden,6,0,8,1,691
155,Evincer,Echo Bolt,Golden,6,0,2,1,510
156,Artillery,Hedge Seed,Golden,6,0,22,1,2491
157,Evincer,Echo Bolt,Golden,6,1,17,1,860
158,Champion,Nox Bomb,Golden,6,1,28,1,2022
159,Evincer,Echo Bolt,Golden,6,1,35,1,2330
160,Artillery,Hedge Seed,Golden,6,0,13,1,804
161,Skirmisher,Bandage,Golden,6,1,20,0,0
162,Evincer,Echo Bolt,Golden,6,0,0,0,0
163,Hexblade,Spring Plume,Dustworks,7,0,6,1,302
164,Cloudbreaker,Hedge Seed,Dustworks,7,3,30,1,2495
165,Titan,Spring Plume,Dustworks,7,3,59,1,2647
166,Hexblade,Spring Plume,Dustworks,7,0,0,1,331
167,Hexblade,Spring Plume,Dustworks,7,0,2,1,457
168,Hexblade,Hedge Seed,Dustworks,7,0,4,1,330
169,Evincer,Echo Bolt,Dustworks,7,1,17,1,814
170,Hexblade,Hedge Seed,Dustworks,7,1,11,1,758
171,Evincer,Echo Bolt,Dustworks,7,0,4,1,223
172,Artillery,Risk-It Biscuit,Dustworks,7,4,43,1,4484
173,Hexblade,Hedge Seed,Dustworks,7,1,53,1,2016
174,Evincer,Echo Bolt,Dustworks,7,1,30,1,710
175,Titan,Spring Plume,Dustworks,7,1,24,1,1569
176,Evincer,Echo Bolt,Dustworks,7,0,8,1,857
177,Evincer,Bandage,Dustworks,7,0,2,1,467
178,Evincer,Echo Bolt,Dustworks,7,2,61,1,2272
179,Titan,Spring Plume,Dustworks,7,2,54,1,2791
180,Hexblade,Hedge Seed,Dustworks,7,0,51,1,2353
181,Hexblade,Bandage,Dustworks,7,0,0,1,911
182,Hexblade,Bandage,Dustworks,7,0,12,1,1449
183,Evincer,Echo Bolt,Dustworks,7,0,19,1,571
184,Hexblade,Hedge Seed,Dustworks,7,1,59,0,0
185,Hexblade,Hedge Seed,Dustworks,7,1,8,0,0
186,Evincer,Echo Bolt,Dustworks,7,0,0,0,0
187,Frost Knight,Lava Cake,Polaris,8,1,6,1,475
188,Hexblade,Bandage,Polaris,8,0,4,1,352
189,Griefer,Nox Bomb,Polaris,8,5,43,1,2624
190,Hexblade,Bandage,Polaris,8,0,4,1,280
191,Chronomancer,Nox Bomb,Polaris,8,1,2,1,306
192,Hexblade,Bandage,Polaris,8,0,0,1,432
193,Alchemist,Hedge Seed,Polaris,8,2,9,1,1524
194,Hexblade,Bandage,Polaris,8,0,6,1,400
195,Hexblade,Bandage,Polaris,8,0,0,1,852
196,Titan,Spring Plume,Polaris,8,0,0,1,150
197,Evincer,Smoke Screen,Polaris,8,6,59,1,2579
198,Hexblade,Bandage,Polaris,8,1,6,1,1373
199,Stargazer,Bandage,Polaris,8,0,2,1,551
200,Griefer,Nox Bomb,Polaris,8,0,4,1,365
201,Evincer,Echo Bolt,Polaris,8,0,7,1,380
202,Griefer,Nox Bomb,Polaris,8,2,9,1,945
203,Stargazer,Bandage,Polaris,8,0,4,1,386
204,Evincer,Echo Bolt,Polaris,8,2,16,1,733
