Class Name,Entries,Coins,Kills,Deaths,Vigor Flask,Bandage,Accelerator,Echo Bolt,Spring Plume,Hedge Seed,Risk-It Biscuit,Nox Bomb,Flame Trap,Lava Cake,Smoke Screen,Vigor Flask,Bandage,Accelerator,Echo Bolt,Spring Plume,Hedge Seed,Risk-It Biscuit,Nox Bomb,Flame Trap,Lava Cake,Smoke Screen
Frost Knight,19,369,21,18,0,0,0,0,0,1,7,0,0,4,7,0,0,0,0,0,24,156,0,0,36,153
Griefer,27,538,18,25,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,240,298
Skirmisher,28,575,24,26,0,0,0,0,11,16,0,0,0,0,1,0,0,0,0,257,314,0,0,0,0,4
Spectre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranger,12,428,18,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,428,0,0
Artillery,9,187,3,8,0,0,6,0,0,1,0,1,0,0,1,0,0,168,0,0,0,0,19,0,0,0
Champion,22,433,17,21,0,0,0,20,0,0,0,0,0,2,0,0,0,0,416,0,0,0,0,0,17,0
Titan,13,286,9,12,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0
Alchemist,6,67,1,6,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,63,0,0,4
Chronomancer,25,620,20,22,0,0,0,0,0,0,0,1,5,3,16,0,0,0,0,0,0,0,6,42,24,548
Hexblade,3,164,6,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,164
Cloudbreaker,8,122,6,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,122
Battlesmith,12,351,18,11,0,0,0,8,0,4,0,0,0,0,0,0,0,0,264,0,87,0,0,0,0,0
Stargazer,26,696,20,20,2,0,0,0,1,11,0,3,0,0,9,123,0,0,0,24,191,0,168,0,0,190
Evincer,48,986,53,45,0,13,0,13,0,0,0,0,0,22,0,0,375,0,345,0,0,0,0,0,266,0
Vampire,2,7,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0
Dancer,17,287,10,16,0,0,7,0,0,0,5,5,0,0,0,0,0,174,0,0,0,24,89,0,0,0
