Frost Knight,18,442,21,16,0,1,0,0,3,11,0,0,0,2,1,0,99,0,0,20,288,0,0,0,14,21
Griefer,47,781,31,45,16,0,0,0,9,0,0,7,0,15,0,90,0,0,0,139,0,0,58,0,494,0
Skirmisher,2,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Spectre,6,292,6,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,198,0,0,0,0,0,94
Ranger,12,237,6,9,3,0,0,0,6,3,0,0,0,0,0,20,0,0,0,134,83,0,0,0,0,0
Artillery,14,216,10,12,3,0,1,0,8,1,0,0,0,0,1,2,0,2,0,210,2,0,0,0,0,0
Champion,14,183,8,13,2,0,0,0,1,2,0,0,0,9,0,5,0,0,0,6,29,0,0,0,143,0
Titan,26,243,8,24,20,0,0,0,6,0,0,0,0,0,0,143,0,0,0,100,0,0,0,0,0,0
Alchemist,19,501,24,16,13,0,0,0,6,0,0,0,0,0,0,413,0,0,0,88,0,0,0,0,0,0
Chronomancer,17,376,28,13,13,0,0,0,3,0,0,0,0,0,1,351,0,0,0,17,0,0,0,0,0,8
Hexblade,21,587,26,17,0,11,0,5,4,1,0,0,0,0,0,0,298,0,183,69,37,0,0,0,0,0
Cloudbreaker,13,235,9,12,4,0,0,0,4,0,0,0,2,0,3,52,0,0,0,53,0,0,0,116,0,14
Battlesmith,4,170,6,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,149,0,0,0,0,0,21,0
Stargazer,18,393,10,15,0,2,2,0,1,0,0,0,0,0,13,0,38,55,0,30,0,0,0,0,0,270
Evincer,18,374,22,15,11,0,0,6,1,0,0,0,0,0,0,253,0,0,119,2,0,0,0,0,0,0
Vampire,19,299,15,18,9,0,0,0,2,0,0,8,0,0,0,12,0,0,0,8,0,0,279,0,0,0
Dancer,15,244,12,13,0,0,0,0,7,0,3,0,2,3,0,0,0,0,0,193,0,26,0,6,19,0
