Frost Knight,24,237,9,22,0,0,0,0,0,5,0,2,0,4,13,0,0,0,0,0,23,0,19,0,33,162
Griefer,44,785,44,39,13,0,2,0,0,16,0,0,0,9,4,314,0,37,0,0,142,0,0,0,158,134
Skirmisher,17,224,17,15,0,0,0,0,0,0,0,7,6,0,4,0,0,0,0,0,0,0,79,115,0,30
Spectre,54,1038,27,43,2,0,2,21,28,0,0,0,0,0,1,131,0,5,308,594,0,0,0,0,0,0
Ranger,22,482,25,19,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,249,233,0,0,0,0,0
Artillery,44,462,19,38,23,0,14,0,7,0,0,0,0,0,0,186,0,126,0,150,0,0,0,0,0,0
Champion,17,365,21,15,0,10,0,0,0,5,0,0,0,0,2,0,251,0,0,0,96,0,0,0,0,18
Titan,65,854,45,60,14,0,0,34,7,0,9,0,0,0,1,202,0,0,421,120,0,109,0,0,0,2
Alchemist,15,564,23,9,2,0,7,0,0,0,0,6,0,0,0,165,0,234,0,0,0,0,165,0,0,0
Chronomancer,24,413,25,21,13,0,0,0,0,1,0,0,0,0,10,230,0,0,0,0,11,0,0,0,0,172
Hexblade,12,48,2,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
Cloudbreaker,8,120,5,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,120
Battlesmith,17,523,21,14,8,0,0,0,4,0,0,0,0,3,2,336,0,0,0,65,0,0,0,0,99,23
Stargazer,64,1614,65,50,9,15,0,0,2,0,0,0,0,0,38,136,416,0,0,16,0,0,0,0,0,1046
Evincer,63,829,57,59,6,0,0,42,3,0,0,4,0,1,7,76,0,0,627,33,0,0,65,0,7,21
Vampire,19,541,28,13,16,0,0,0,0,0,0,0,0,0,3,513,0,0,0,0,0,0,0,0,0,28
Dancer,19,408,13,16,3,0,0,0,0,0,0,0,0,6,10,137,0,0,0,0,0,0,0,0,97,174
