Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed
0,Hexblade,Lava Cake,Dustworks,1,1,2,1
1,Titan,Risk-It Biscuit,Dustworks,1,0,4,1
2,Titan,Vigor Flask,Dustworks,1,0,5,1
3,Battlesmith,Bandage,Dustworks,1,1,5,1
4,Titan,Risk-It Biscuit,Dustworks,1,2,10,1
5,Evincer,Flame Trap,Dustworks,1,2,15,1
6,Hexblade,Smoke Screen,Dustworks,1,0,4,1
7,Titan,Smoke Screen,Dustworks,1,1,29,1
8,Titan,Vigor Flask,Dustworks,1,1,12,1
9,Battlesmith,Bandage,Dustworks,1,1,31,1
10,Titan,Risk-It Biscuit,Dustworks,1,0,4,1
11,Titan,Risk-It Biscuit,Dustworks,1,3,21,1
12,Evincer,Flame Trap,Dustworks,1,0,2,1
13,Titan,Vigor Flask,Dustworks,1,1,19,1
14,Evincer,Flame Trap,Dustworks,1,0,3,1
15,Battlesmith,Bandage,Dustworks,1,1,25,1
16,Skirmisher,Hedge Seed,Dustworks,1,2,37,1
17,Titan,Vigor Flask,Dustworks,1,4,79,1
18,Titan,Risk-It Biscuit,Dustworks,1,0,4,1
19,Battlesmith,Bandage,Dustworks,1,1,14,1
20,Titan,Risk-It Biscuit,Dustworks,1,1,14,1
21,Evincer,Flame Trap,Dustworks,1,0,2,1
22,Stargazer,Flame Trap,Dustworks,1,4,75,1
23,Evincer,Flame Trap,Dustworks,1,0,6,1
24,Battlesmith,Bandage,Dustworks,1,0,21,1
25,Evincer,Flame Trap,Dustworks,1,0,0,1
26,Titan,Risk-It Biscuit,Dustworks,1,0,4,1
27,Evincer,Flame Trap,Dustworks,1,0,7,1
28,Titan,Risk-It Biscuit,Dustworks,1,1,18,1
29,Battlesmith,Bandage,Dustworks,1,1,6,1
30,Evincer,Flame Trap,Dustworks,1,2,15,1
31,Titan,Risk-It Biscuit,Dustworks,1,0,33,1
32,Battlesmith,Bandage,Dustworks,1,3,14,0
33,Titan,Vigor Flask,Dustworks,1,0,53,0
34,Evincer,Flame Trap,Dustworks,1,0,19,1
35,Alchemist,Lava Cake,Dustworks,1,0,2,0
36,Titan,Risk-It Biscuit,Dustworks,1,0,2,0
37,Evincer,Flame Trap,Dustworks,1,0,0,0
38,Evincer,Flame Trap,Polaris,2,1,6,1
39,Evincer,Lava Cake,Polaris,2,0,4,1
40,Evincer,Vigor Flask,Polaris,2,1,4,1
41,Titan,Risk-It Biscuit,Polaris,2,1,2,1
42,Alchemist,Lava Cake,Polaris,2,3,9,1
43,Evincer,Vigor Flask,Polaris,2,1,9,1
44,Spectre,Vigor Flask,Polaris,2,0,5,1
45,Evincer,Flame Trap,Polaris,2,0,0,1
46,Frost Knight,Risk-It Biscuit,Polaris,2,2,15,1
47,Evincer,Flame Trap,Polaris,2,0,5,1
48,Evincer,Vigor Flask,Polaris,2,0,0,1
49,Evincer,Flame Trap,Polaris,2,0,8,1
50,Evincer,Vigor Flask,Polaris,2,2,10,1
51,Spectre,Vigor Flask,Polaris,2,1,19,1
52,Dancer,Nox Bomb,Polaris,2,1,0,1
53,Evincer,Vigor Flask,Polaris,2,0,8,1
54,Frost Knight,Vigor Flask,Polaris,2,0,2,1
55,Stargazer,Spring Plume,Polaris,2,5,37,1
56,Evincer,Flame Trap,Polaris,2,2,21,1
57,Spectre,Vigor Flask,Polaris,2,0,0,1
58,Evincer,Vigor Flask,Polaris,2,1,6,1
59,Frost Knight,Vigor Flask,Polaris,2,0,2,1
