Frost Knight,14,292,14,10,8,2,0,0,0,4,0,0,0,0,0,214,24,0,0,0,54,0,0,0,0,0
Griefer,27,475,35,23,6,0,5,4,0,0,0,0,0,12,0,189,0,135,51,0,0,0,0,0,100,0
Skirmisher,12,267,8,10,0,5,0,0,0,0,0,0,7,0,0,0,122,0,0,0,0,0,0,145,0,0
Spectre,11,303,5,10,8,0,3,0,0,0,0,0,0,0,0,163,0,140,0,0,0,0,0,0,0,0
Ranger,9,235,3,8,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,57,0,0,0,170,0,8
Artillery,10,171,8,8,0,0,3,0,7,0,0,0,0,0,0,0,0,11,0,160,0,0,0,0,0,0
Champion,8,138,5,6,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,138,0
Titan,19,517,20,17,16,3,0,0,0,0,0,0,0,0,0,372,145,0,0,0,0,0,0,0,0,0
Alchemist,22,373,14,18,9,0,0,0,0,13,0,0,0,0,0,53,0,0,0,0,320,0,0,0,0,0
Chronomancer,12,241,8,10,6,0,0,0,0,0,0,0,0,0,6,183,0,0,0,0,0,0,0,0,0,58
Hexblade,12,252,17,11,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,37,0,215,0,0,0,0
Cloudbreaker,3,113,4,2,3,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0
Battlesmith,18,418,20,15,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,348,70,0,0,0,0,0
Stargazer,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Evincer,28,478,17,25,0,0,1,11,12,0,0,4,0,0,0,0,0,2,239,188,0,0,49,0,0,0
Vampire,13,335,11,12,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,209,126,0,0
Dancer,17,254,10,15,0,0,0,14,3,0,0,0,0,0,0,0,0,0,160,94,0,0,0,0,0,0
