Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed
0,Griefer,Bandage,Dustworks,1,0,4,1
1,Titan,Risk-It Biscuit,Dustworks,1,1,8,1
2,Spectre,Echo Bolt,Dustworks,1,0,0,1
3,Hexblade,Vigor Flask,Dustworks,1,2,16,1
4,Spectre,Echo Bolt,Dustworks,1,3,32,1
5,Titan,Risk-It Biscuit,Dustworks,1,1,3,1
6,Ranger,Flame Trap,Dustworks,1,0,2,1
7,Ranger,Flame Trap,Dustworks,1,1,15,1
8,Titan,Risk-It Biscuit,Dustworks,1,0,6,1
9,Dancer,Accelerator,Dustworks,1,1,17,1
10,Titan,Risk-It Biscuit,Dustworks,1,4,38,1
11,Ranger,Flame Trap,Dustworks,1,0,10,1
12,Spectre,Echo Bolt,Dustworks,1,1,91,1
13,Skirmisher,Nox Bomb,Dustworks,1,0,16,1
14,Ranger,Flame Trap,Dustworks,1,0,5,1
15,Artillery,Nox Bomb,Dustworks,1,0,8,1
16,Ranger,Flame Trap,Dustworks,1,0,7,1
17,Titan,Risk-It Biscuit,Dustworks,1,2,6,1
18,Artillery,Vigor Flask,Dustworks,1,1,7,1
19,Ranger,Flame Trap,Dustworks,1,2,54,1
20,Titan,Risk-It Biscuit,Dustworks,1,0,2,1
21,Artillery,Vigor Flask,Dustworks,1,0,4,1
22,Titan,Risk-It Biscuit,Dustworks,1,2,83,1
23,Artillery,Vigor Flask,Dustworks,1,1,23,1
24,Ranger,Flame Trap,Dustworks,1,0,13,1
25,Spectre,Echo Bolt,Dustworks,1,1,46,1
26,Titan,Risk-It Biscuit,Dustworks,1,4,53,0
27,Ranger,Flame Trap,Dustworks,1,0,10,1
28,Artillery,Vigor Flask,Dustworks,1,0,4,0
29,Spectre,Echo Bolt,Dustworks,1,0,0,0
30,Spectre,Echo Bolt,Sunken,2,5,100,1
31,Stargazer,Lava Cake,Sunken,2,1,13,1
32,Dancer,Echo Bolt,Sunken,2,0,6,1
33,Stargazer,Smoke Screen,Sunken,2,0,0,1
34,Stargazer,Smoke Screen,Sunken,2,0,4,1
35,Dancer,Echo Bolt,Sunken,2,1,8,1
36,Vampire,Vigor Flask,Sunken,2,3,18,1
37,Stargazer,Smoke Screen,Sunken,2,0,6,1
38,Dancer,Echo Bolt,Sunken,2,0,2,1
39,Dancer,Echo Bolt,Sunken,2,1,4,1
40,Dancer,Echo Bolt,Sunken,2,1,20,1
41,Titan,Bandage,Sunken,2,2,13,1
42,Ranger,Smoke Screen,Sunken,2,0,2,1
43,Dancer,Echo Bolt,Sunken,2,0,2,1
